data_name, model, max_acc
4mC_C.equisetifolia, 4mC.pth, 0.8743
4mC_C.equisetifolia, 4mC.pth, 0.8661
4mC_C.equisetifolia, 4mC.pth, 0.8607
4mC_F.vesca, 4mC.pth, 0.8524
4mC_F.vesca, 4mC.pth, 0.8500
4mC_F.vesca, 4mC.pth, 0.8514
4mC_S.cerevisiae, 4mC.pth, 0.7417
4mC_S.cerevisiae, 4mC.pth, 0.7427
4mC_S.cerevisiae, 4mC.pth, 0.7452
4mC_Tolypocladium, 4mC.pth, 0.7392
4mC_Tolypocladium, 4mC.pth, 0.7408
4mC_Tolypocladium, 4mC.pth, 0.7389
5hmC_H.sapiens, 5hmC.pth, 0.9480
5hmC_H.sapiens, 5hmC.pth, 0.9488
5hmC_H.sapiens, 5hmC.pth, 0.9475
5hmC_M.musculus, 5hmC.pth, 0.9676
5hmC_M.musculus, 5hmC.pth, 0.9682
5hmC_M.musculus, 5hmC.pth, 0.9679
6mA_A.thaliana, 6mA.pth, 0.8645
6mA_A.thaliana, 6mA.pth, 0.8646
6mA_A.thaliana, 6mA.pth, 0.8644
6mA_C.elegans, 6mA.pth, 0.9137
6mA_C.elegans, 6mA.pth, 0.9153
6mA_C.elegans, 6mA.pth, 0.9148
6mA_C.equisetifolia, 6mA.pth, 0.7596
6mA_C.equisetifolia, 6mA.pth, 0.7578
6mA_C.equisetifolia, 6mA.pth, 0.7570
6mA_D.melanogaster, 6mA.pth, 0.9293
6mA_D.melanogaster, 6mA.pth, 0.9303
6mA_D.melanogaster, 6mA.pth, 0.9294
6mA_F.vesca, 6mA.pth, 0.9417
6mA_F.vesca, 6mA.pth, 0.9404
6mA_F.vesca, 6mA.pth, 0.9439
6mA_H.sapiens, 6mA.pth, 0.9051
6mA_H.sapiens, 6mA.pth, 0.9053
6mA_H.sapiens, 6mA.pth, 0.9059
6mA_R.chinensis, 6mA.pth, 0.9047
6mA_R.chinensis, 6mA.pth, 0.9047
6mA_R.chinensis, 6mA.pth, 0.8946
6mA_S.cerevisiae, 6mA.pth, 0.8434
6mA_S.cerevisiae, 6mA.pth, 0.8407
6mA_S.cerevisiae, 6mA.pth, 0.8436
6mA_Tolypocladium, 6mA.pth, 0.7907
6mA_Tolypocladium, 6mA.pth, 0.7925
6mA_Tolypocladium, 6mA.pth, 0.7922
6mA_T.thermophile, 6mA.pth, 0.8816
6mA_T.thermophile, 6mA.pth, 0.8814
6mA_T.thermophile, 6mA.pth, 0.8812
6mA_Xoc_BLS256, 6mA.pth, 0.8803
6mA_Xoc_BLS256, 6mA.pth, 0.8804
6mA_Xoc_BLS256, 6mA.pth, 0.8811
